series_id,group_id,currency_to_sek,date,currency,currency_description,source
SEKDKKPMI,130,1.5818,2023-10-25,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-10-25,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.4284,2023-10-24,GBP,pound sterling,Nasdaq
SEKEURPMI,130,11.6784,2023-10-24,EUR,Euroland euro,Nasdaq
SEKDKKPMI,130,1.5647,2023-10-24,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-10-24,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,10.9444,2023-10-24,USD,US dollar,Nasdaq
SEKEURPMI,130,11.6517,2023-10-23,EUR,Euroland euro,Nasdaq
SEKGBPPMI,130,13.3885,2023-10-23,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,11.0086,2023-10-23,USD,US dollar,Nasdaq
SEKDKKPMI,130,1.5614,2023-10-23,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-10-23,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,11.0057,2023-10-20,USD,US dollar,Nasdaq
SEKDKKPMI,130,1.559,2023-10-20,DKK,Danish krone,Nasdaq
SEKGBPPMI,130,13.3297,2023-10-20,GBP,pound sterling,Nasdaq
SEKEURPMI,130,11.6352,2023-10-20,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-10-20,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.6422,2023-10-19,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-10-19,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,11.0437,2023-10-19,USD,US dollar,Nasdaq
SEKGBPPMI,130,13.4007,2023-10-19,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5603,2023-10-19,DKK,Danish krone,Nasdaq
SEKDKKPMI,130,1.5494,2023-10-18,DKK,Danish krone,Nasdaq
SEKGBPPMI,130,13.3333,2023-10-18,GBP,pound sterling,Nasdaq
SEKUSDPMI,130,10.9303,2023-10-18,USD,US dollar,Nasdaq
SEKETT,130,1.0,2023-10-18,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.5592,2023-10-18,EUR,Euroland euro,Nasdaq
SEKEURPMI,130,11.5241,2023-10-17,EUR,Euroland euro,Nasdaq
SEKGBPPMI,130,13.301,2023-10-17,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5449,2023-10-17,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-10-17,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,10.9232,2023-10-17,USD,US dollar,Nasdaq
SEKETT,130,1.0,2023-10-16,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKEURPMI,130,11.5605,2023-10-16,EUR,Euroland euro,Nasdaq
SEKDKKPMI,130,1.55,2023-10-16,DKK,Danish krone,Nasdaq
SEKUSDPMI,130,10.9802,2023-10-16,USD,US dollar,Nasdaq
SEKGBPPMI,130,13.3632,2023-10-16,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5486,2023-10-13,DKK,Danish krone,Nasdaq
SEKUSDPMI,130,10.9501,2023-10-13,USD,US dollar,Nasdaq
SEKGBPPMI,130,13.3695,2023-10-13,GBP,pound sterling,Nasdaq
SEKEURPMI,130,11.5472,2023-10-13,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-10-13,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKUSDPMI,130,10.897,2023-10-12,USD,US dollar,Nasdaq
SEKEURPMI,130,11.5798,2023-10-12,EUR,Euroland euro,Nasdaq
SEKETT,130,1.0,2023-10-12,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKDKKPMI,130,1.553,2023-10-12,DKK,Danish krone,Nasdaq
SEKGBPPMI,130,13.414,2023-10-12,GBP,pound sterling,Nasdaq
SEKGBPPMI,130,13.3667,2023-10-11,GBP,pound sterling,Nasdaq
SEKEURPMI,130,11.5441,2023-10-11,EUR,Euroland euro,Nasdaq
SEKUSDPMI,130,10.8812,2023-10-11,USD,US dollar,Nasdaq
SEKETT,130,1.0,2023-10-11,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKDKKPMI,130,1.5482,2023-10-11,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-10-10,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.413,2023-10-10,GBP,pound sterling,Nasdaq
SEKEURPMI,130,11.5908,2023-10-10,EUR,Euroland euro,Nasdaq
SEKUSDPMI,130,10.9753,2023-10-10,USD,US dollar,Nasdaq
SEKDKKPMI,130,1.5544,2023-10-10,DKK,Danish krone,Nasdaq
SEKETT,130,1.0,2023-10-09,SEK,Used for inverted exchange rate,Sveriges Riksbank
SEKGBPPMI,130,13.4409,2023-10-09,GBP,pound sterling,Nasdaq
SEKDKKPMI,130,1.5583,2023-10-09,DKK,Danish krone,Nasdaq
